label,label_id,source_file,source_path,take_id,target_mac,source_format,window_start,window_end,packet_count,duration,packet_rate,rssi_mean,rssi_std,rssi_min,rssi_max,rssi_range,rssi_median,rssi_q25,rssi_q75,rssi_iqr,rssi_diff_mean,rssi_diff_abs_mean,rssi_diff_std,rssi_diff_max_abs,len_mean,len_std,len_min,len_max,count_gap_mean,count_gap_std,count_gap_max,time_gap_mean,time_gap_std,time_gap_max
1_static,1,1_static_03.csv,./1_static/1_static_03.csv,3,0EA06D7AA587,shifted,1777283110.182742,1777283115.182742,22,4.787876844406128,4.594938574016059,-80.13636363636364,0.7565144080496927,-81.0,-78.0,3.0,-80.0,-81.0,-80.0,1.0,0.047619047619047616,0.8095238095238095,1.2140522651411392,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.22799413544791086,0.1856120118868008,0.6756179332733154
1_static,1,1_static_03.csv,./1_static/1_static_03.csv,3,0EA06D7AA587,shifted,1777283112.682742,1777283117.682742,25,4.607661008834839,5.425746371546085,-80.08,0.7959899496852959,-81.0,-78.0,3.0,-80.0,-81.0,-80.0,1.0,0.0,1.0,1.3228756555322954,3.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.1919858753681183,0.1373463967158584,0.5954070091247559
1_static,1,1_static_03.csv,./1_static/1_static_03.csv,3,0EA06D7AA587,shifted,1777283115.182742,1777283120.182742,20,4.710888147354126,4.245483945789079,-80.0,0.6324555320336759,-81.0,-79.0,2.0,-80.0,-80.0,-80.0,0.0,0.0,0.7368421052631579,0.9733285267845752,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.24794148143969083,0.16749830454474907,0.7394149303436279
1_static,1,1_static_03.csv,./1_static/1_static_03.csv,3,0EA06D7AA587,shifted,1777283117.682742,1777283122.682742,15,4.72191309928894,3.176678537827985,-80.06666666666666,0.5734883511361751,-81.0,-79.0,2.0,-80.0,-80.0,-80.0,0.0,0.07142857142857142,0.6428571428571429,0.7985957062499249,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.33727950709206717,0.2250402538806117,0.8723049163818359
1_static,1,1_static_03.csv,./1_static/1_static_03.csv,3,0EA06D7AA587,shifted,1777283120.182742,1777283125.182742,18,4.097718238830566,4.3926885527241515,-79.94444444444444,0.5241100628920335,-81.0,-79.0,2.0,-80.0,-80.0,-80.0,0.0,0.058823529411764705,0.4117647058823529,0.6389870877176598,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2410422493429745,0.20013459150818363,0.9114317893981934
1_static,1,1_static_03.csv,./1_static/1_static_03.csv,3,0EA06D7AA587,shifted,1777283122.682742,1777283127.682742,22,4.70331597328186,4.677550928956391,-79.77272727272727,0.4190702026042221,-80.0,-79.0,1.0,-80.0,-80.0,-80.0,0.0,0.0,0.2857142857142857,0.5345224838248488,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2239674272991362,0.2018172198237615,0.9114317893981934
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283148.604458,1777283153.604458,21,4.780997037887573,4.392389251359712,-80.71428571428571,0.6281383789653772,-82.0,-80.0,2.0,-81.0,-81.0,-80.0,1.0,0.1,0.5,0.7681145747868608,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.23904985189437866,0.16069483370552512,0.5954711437225342
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283151.104458,1777283156.104458,18,4.792118787765503,3.7561673233048434,-80.66666666666667,0.4714045207910317,-81.0,-80.0,1.0,-81.0,-81.0,-80.0,1.0,0.0,0.35294117647058826,0.5940885257860046,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.2818893404567943,0.21332794888255505,0.7878270149230957
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283153.604458,1777283158.604458,18,4.462576866149902,4.03354396795624,-80.61111111111111,0.4874980215217846,-81.0,-80.0,1.0,-81.0,-81.0,-80.0,1.0,0.0,0.47058823529411764,0.6859943405700354,1.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.26250452153822956,0.2094565558020531,0.7878270149230957
1_static,1,1_static_04.csv,./1_static/1_static_04.csv,4,0EA06D7AA587,shifted,1777283156.104458,1777283161.104458,19,4.604237079620361,4.126633722685416,-80.6842105263158,0.653140718210045,-82.0,-80.0,2.0,-81.0,-81.0,-80.0,1.0,-0.05555555555555555,0.6111111111111112,0.8480187512485414,2.0,128.0,0.0,128.0,128.0,1.0,0.0,1.0,0.25579094886779785,0.16407139138724297,0.5218868255615234
